City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Pointe-Noire,CG,-4.7761,11.8635,70.34,91,52,5.75,broken clouds
239,Saldanha,ZA,-33.0117,17.9442,55.04,71,94,17.72,overcast clouds
240,Mao,ES,39.8885,4.2658,70.36,88,0,5.75,clear sky
241,Arica,CL,-18.475,-70.3042,59.23,72,100,4.61,overcast clouds
242,Lagunas,PE,-5.2269,-75.6753,66.31,97,100,8.08,moderate rain
243,Henties Bay,NA,-22.116,14.2845,59.85,53,6,11.23,clear sky
244,Arroyos Y Esteros,PY,-25.0667,-57.1,47.95,70,0,4.61,clear sky
245,Chara,RU,56.9064,118.2631,48.34,82,100,2.15,light rain
246,Northam,GB,51.0333,-4.2167,60.62,90,14,9.82,few clouds
247,Magaria,NE,12.9983,8.9099,75.45,79,98,7.83,overcast clouds
248,Constitucion,CL,-35.3333,-72.4167,51.62,86,40,7.14,scattered clouds
249,Cabo San Lucas,MX,22.8909,-109.9124,87.62,72,20,11.5,few clouds
250,Yamethin,MM,20.4333,96.15,81.32,77,82,6.64,broken clouds
251,Constantine,DZ,36.365,6.6147,65.61,72,0,3.44,clear sky
252,Myanaung,MM,18.2833,95.3167,81.52,84,85,7.52,overcast clouds
253,Srandakan,ID,-7.9386,110.2506,80.71,65,58,16.17,broken clouds
254,Torbay,CA,47.6666,-52.7314,66.38,87,18,5.99,few clouds
255,Antalaha,MG,-14.9003,50.2788,66.92,84,58,3.47,broken clouds
256,Bjornevatn,NO,69.6672,29.9847,61.14,94,48,10.36,scattered clouds
257,Vanimo,PG,-2.6741,141.3028,82.29,75,72,4.68,moderate rain
258,Barranca,PE,-10.75,-77.7667,60.15,84,56,9.01,broken clouds
259,Poso,ID,-1.3959,120.7524,85.5,55,19,2.28,few clouds
260,Salinas,US,36.6777,-121.6555,75.72,78,100,13.8,overcast clouds
261,Kaitangata,NZ,-46.2817,169.8464,56.71,59,88,2.57,overcast clouds
262,Yarada,IN,17.65,83.2667,80.92,89,100,2.3,light intensity drizzle
263,Varginha,BR,-21.5514,-45.4303,52.05,82,34,9.42,scattered clouds
264,Dunedin,NZ,-45.8742,170.5036,56.8,70,100,8.99,overcast clouds
265,Moquegua,PE,-17.1956,-70.9353,59.95,38,0,0.94,clear sky
266,Charters Towers,AU,-20.1,146.2667,77.79,30,1,8.25,clear sky
267,Mitu,CO,1.1983,-70.1733,71.94,98,100,0.27,overcast clouds
268,Juli,PE,-16.2167,-69.45,38.35,70,0,3.29,clear sky
269,Souillac,MU,-20.5167,57.5167,70.18,78,40,11.5,scattered clouds
270,Irtyshskiy,RU,58.3333,68.1333,54.19,97,99,5.44,light rain
271,Gisborne,NZ,-38.6533,178.0042,67.1,63,1,9.28,clear sky
272,Faya,SA,18.3851,42.4509,64.92,73,13,4.52,few clouds
273,Turka,UA,49.1541,23.0297,55.8,86,1,3.06,clear sky
274,Gitega,BI,-3.5,29.95,60.91,62,38,2.84,scattered clouds
275,Kidal,ML,18.4411,1.4078,91.42,10,88,10.89,overcast clouds
276,Muroto,JP,33.2833,134.15,84.38,75,95,9.19,overcast clouds
277,Bathsheba,BB,13.2167,-59.5167,81.3,79,29,13.69,scattered clouds
278,Port Augusta,AU,-32.5,137.7667,60.75,64,82,2.77,broken clouds
279,Sarankhola,BD,22.3082,89.7897,81.27,86,100,14.32,overcast clouds
280,Richards Bay,ZA,-28.783,32.0377,55.18,81,0,6.49,clear sky
281,Napierville,CA,45.1865,-73.4047,76.78,73,48,5.97,scattered clouds
282,Tuatapere,NZ,-46.1333,167.6833,58.08,57,86,4.14,overcast clouds
283,Pasighat,IN,28.0667,95.3333,81.79,87,100,0.76,overcast clouds
284,Buluang,PH,13.3068,123.3425,87.31,64,29,2.21,scattered clouds
285,Sabla,NG,12.7525,4.7077,74.08,90,100,13.82,overcast clouds
286,Ponta Do Sol,PT,32.6667,-17.1,70.43,75,5,4.32,clear sky
287,Gonen,TR,40.1049,27.654,72.01,41,0,2.77,clear sky
288,Kloulklubed,PW,7.0419,134.2556,82.9,73,17,4.38,few clouds
289,Inuvik,CA,68.3499,-133.7218,48.96,93,100,6.91,light intensity drizzle
290,Anloga,GH,5.7947,0.8973,74.77,88,94,12.77,light rain
291,Kargopol,RU,61.5071,38.9456,53.85,82,16,4.79,few clouds
292,Thompson,CA,55.7435,-97.8558,66.69,49,5,5.93,clear sky
293,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,43.63,46,0,6.42,clear sky
294,Saint-Pierre,RE,-21.3393,55.4781,66.29,66,0,10.36,clear sky
295,Tonantins,BR,-2.8731,-67.8022,73.36,98,100,4.88,moderate rain
296,Ghatanji,IN,20.1333,78.3167,76.08,88,100,12.08,overcast clouds
297,Pinar Del Rio,CU,22.4175,-83.6981,79.03,80,0,4.34,clear sky
298,Gat,IL,31.61,34.7642,75.4,72,0,3.96,clear sky
299,Okha,RU,53.5739,142.9478,54.16,98,100,20.56,moderate rain
300,Ihlow,DE,51.8833,13.3333,66.47,94,75,3.44,broken clouds
301,Alice Springs,AU,-23.7,133.8833,62.15,31,0,18.41,clear sky
302,Tlaixpan,MX,18.9,-97.7333,63.1,75,93,2.46,overcast clouds
303,Komoro,JP,36.3167,138.4333,84.74,64,100,1.52,light rain
304,Conde,BR,-7.2597,-34.9075,71.06,88,0,11.5,clear sky
305,Mount Isa,AU,-20.7333,139.5,69.57,24,0,14.97,clear sky
