City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
641,Uusikaupunki,FI,67.87,overcast clouds,60.8004,21.4084,Hotel Aquarius
642,Czersk,PL,67.66,broken clouds,53.7959,17.9765,Stadnina Cheval i Pensjonat
644,Mchinji,MW,62.01,clear sky,-13.7984,32.8802,Kayesa Inn
646,New Iberia,US,77.07,clear sky,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
652,Chiredzi,ZW,62.82,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
656,Saint-Francois,FR,63.84,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
657,Fairbanks,US,64.6,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
658,Broken Hill,AU,60.53,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
659,Skibbereen,IE,61.11,scattered clouds,51.55,-9.2667,The West Cork Hotel
661,Chandbali,IN,78.53,moderate rain,20.7833,86.7667,Sabitri Bhavan
664,Borsa,RO,62.65,clear sky,47.6553,24.6633,Coasta cu Izvoare
667,Wuda,CN,76.6,few clouds,39.4994,106.7117,Grape Sightseeing Garden
668,Nueva Granada,CO,78.73,clear sky,9.8017,-74.393,HOTEL BELLA VISTA NUEVA GRANADA
669,Sterling,US,78.28,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
670,Marystown,CA,63.93,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
672,Calvia,ES,70.95,clear sky,39.5657,2.5062,Castell Son Claret
673,Mabaruma,GY,75.56,few clouds,8.2,-59.7833,Monty Brooms Guest House
674,Fuxin,CN,76.66,clear sky,42.0156,121.6589,Xinya International Hotel
677,Gemena,CD,68.5,overcast clouds,3.25,19.7667,Hôtel Goshen
678,Polessk,RU,69.85,light rain,54.862,21.1028,Vocation House
680,Puri,IN,79.32,moderate rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
682,Kozulka,UA,63.01,clear sky,50.0351,23.797,Maydan Charivni Ozera
685,Hollins,US,73.78,broken clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
687,Lata,PT,65.71,clear sky,40.1629,-8.3327,Casa Maquia
688,Lock Haven,US,77.7,overcast clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
690,Khandbari,NP,76.1,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
691,Takoradi,GH,74.12,overcast clouds,4.8845,-1.7554,Raybow International Hotel
692,Hyeres,FR,74.41,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
